,objectid,id,datetime,cloruro,SHAPE
0,3,chapo_cap1,2021-10-29 02:34:06,64.91,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
1,7,chapo_cap1,2021-10-29 02:35:06,66.62,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
2,11,chapo_cap1,2021-10-29 02:36:06,67.41,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
3,15,chapo_cap1,2021-10-29 02:37:06,67.68,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
4,19,chapo_cap1,2021-10-29 02:38:06,67.88,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
5,23,chapo_cap1,2021-10-29 02:39:06,67.95,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
6,26,chapo_cap1,2021-10-29 02:40:06,67.95,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
7,30,chapo_cap1,2021-10-29 02:41:06,67.79,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
8,34,chapo_cap1,2021-10-29 02:42:06,66.78,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
9,38,chapo_cap1,2021-10-29 02:43:06,65.96,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
10,42,chapo_cap1,2021-10-29 02:44:06,65.95,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
11,46,chapo_cap1,2021-10-29 02:45:06,65.93,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
12,50,chapo_cap1,2021-10-29 02:46:06,65.68,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
13,54,chapo_cap1,2021-10-29 02:47:06,65.54,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
14,58,chapo_cap1,2021-10-29 02:48:06,14.8,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
15,62,chapo_cap1,2021-10-29 02:49:06,67.11,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
16,66,chapo_cap1,2021-10-29 02:50:06,68.16,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
17,70,chapo_cap1,2021-10-29 02:51:06,68.51,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
18,74,chapo_cap1,2021-10-29 02:52:06,68.94,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
19,78,chapo_cap1,2021-10-29 02:53:06,69.32,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
20,82,chapo_cap1,2021-10-29 02:54:06,69.91,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
21,86,chapo_cap1,2021-10-29 02:55:06,70.37,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
22,90,chapo_cap1,2021-10-29 02:56:06,70.58,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
23,94,chapo_cap1,2021-10-29 02:57:06,70.85,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
24,98,chapo_cap1,2021-10-29 02:58:06,71.01,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
25,102,chapo_cap1,2021-10-29 02:59:06,71.13,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
26,106,chapo_cap1,2021-10-29 03:00:06,70.86,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
27,110,chapo_cap1,2021-10-29 03:01:06,71.84,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
28,114,chapo_cap1,2021-10-29 03:02:06,73.18,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
29,118,chapo_cap1,2021-10-29 03:03:06,66.57,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
30,122,chapo_cap1,2021-10-29 03:04:06,68.41,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
31,126,chapo_cap1,2021-10-29 03:05:06,69.15,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
32,130,chapo_cap1,2021-10-29 03:06:06,68.77,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
33,134,chapo_cap1,2021-10-29 03:07:06,68.82,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
34,138,chapo_cap1,2021-10-29 03:08:06,68.65,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
35,142,chapo_cap1,2021-10-29 03:09:06,67.84,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
36,146,chapo_cap1,2021-10-29 03:00:00,67.69,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
37,150,chapo_cap1,2021-10-29 03:00:00,67.58,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
38,154,chapo_cap1,2021-10-29 03:12:06,67.28,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
39,158,chapo_cap1,2021-10-29 03:13:06,66.89,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
40,162,chapo_cap1,2021-10-29 03:14:06,66.93,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
41,166,chapo_cap1,2021-10-29 03:15:06,66.75,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
42,170,chapo_cap1,2021-10-29 03:16:06,66.76,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
43,174,chapo_cap1,2021-10-29 03:17:06,66.77,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
44,178,chapo_cap1,2021-10-29 03:18:06,61.9,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
45,182,chapo_cap1,2021-10-29 03:19:06,63.97,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
46,186,chapo_cap1,2021-10-29 03:20:06,65.29,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
47,190,chapo_cap1,2021-10-29 03:21:06,66.33,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
48,194,chapo_cap1,2021-10-29 03:22:06,66.67,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
49,198,chapo_cap1,2021-10-29 03:23:06,66.65,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
50,202,chapo_cap1,2021-10-29 03:24:06,66.51,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
51,206,chapo_cap1,2021-10-29 03:25:06,66.22,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
52,210,chapo_cap1,2021-10-29 03:26:06,65.66,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
